type,name,description,url
url,Univision_WL2_249_storecatalogrevocation_storequality,api,storecatalogrevocation.storequality.microsoft.com
url,Univision_WL2_250_sugarcrm_blim_com,api,sugarcrm.blim.com
url,Univision_WL2_251_support_zendesk_com,api,support.zendesk.com
url,Univision_WL2_252_surveymonkeyassets_s3_amazonaws_co,api,surveymonkey-assets.s3.amazonaws.com
url,Univision_WL2_253_sync_1rx_io,api,sync.1rx.io
url,Univision_WL2_254_sync_adotmob_com,api,sync.adotmob.com
url,Univision_WL2_255_sync_crwdcntrl_net,api,sync.crwdcntrl.net
url,Univision_WL2_256_sync_ipredictive_com,api,sync.ipredictive.com
url,Univision_WL2_257_sync_mathtag_com,api,sync.mathtag.com
url,Univision_WL2_258_sync_outbrain_com,api,sync.outbrain.com
url,Univision_WL2_259_sync_search_spotxchange_com,api,sync.search.spotxchange.com
url,Univision_WL2_260_sync_srv_stackadapt_com,api,sync.srv.stackadapt.com
url,Univision_WL2_261_sync_taboola_com,api,sync.taboola.com
url,Univision_WL2_262_sync_targeting_unrulymedia_com,api,sync.targeting.unrulymedia.com
url,Univision_WL2_263_sync_teads_tv,api,sync.teads.tv
url,Univision_WL2_264_sync_technoratimedia_com,api,sync.technoratimedia.com
url,Univision_WL2_265_synctm_everesttech_net,api,sync-tm.everesttech.net
url,Univision_WL2_266_syndication_twitter_com,api,syndication.twitter.com
url,Univision_WL2_267_t_co,api,t.co
url,Univision_WL2_268_t_contentsquare_net,api,t.contentsquare.net
url,Univision_WL2_269_tag_demandbase_com,api,tag.demandbase.com
url,Univision_WL2_270_tags_rd_linksynergy_com,api,tags.rd.linksynergy.com
url,Univision_WL2_271_tags_tiqcdn_com,api,tags.tiqcdn.com
url,Univision_WL2_272_teleperformance_com,api,teleperformance.com
url,Univision_WL2_273_teleperformance_sabacloud_com,api,teleperformance.sabacloud.com
url,Univision_WL2_274_teleperformance_thetrainingarcade_c,api,teleperformance.thetrainingarcade.com
url,Univision_WL2_275_teleperformance_zoom_us,api,teleperformance.zoom.us
url,Univision_WL2_276_teleperformancemytp_sabacloud_com,api,teleperformance-mytp.sabacloud.com
url,Univision_WL2_277_teleperformancesb_sabacloud_com,api,teleperformancesb.sabacloud.com
url,Univision_WL2_278_teleperformancewaha_sabacloud_com,api,teleperformance-waha.sabacloud.com
url,Univision_WL2_279_televisa_slack_com,api,televisa.slack.com
url,Univision_WL2_280_tenable,api,------tenable------
url,Univision_WL2_281_tenable_io,api,tenable.io
url,Univision_WL2_282_theme_zdassets_com,api,theme.zdassets.com
url,Univision_WL2_283_thetrainingarcade_com,api,thetrainingarcade.com
url,Univision_WL2_284_tkx_mp_lura_live,api,tkx.mp.lura.live
url,Univision_WL2_285_tpc_googlesyndication_com,api,tpc.googlesyndication.com
url,Univision_WL2_286_tpc_tpnsr_com,api,tpc.tpnsr.com
url,Univision_WL2_287_tpcemeawww_azureedge_net,api,tpcemea-www.azureedge.net
url,Univision_WL2_288_tpns_adobeconnect_com,api,tpns.adobeconnect.com
