type,name,description,url
url,AVIS_WL_5_278_d3h58onr8hrozw_cloudfront_net,api,d3h58onr8hrozw.cloudfront.net
url,AVIS_WL_5_279_rtc_connect-telecom_ap-northeast-1_,api,rtc.connect-telecom.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_280execute-api_ap-northeast-1_amazon,api,*.execute-api.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_281_participant_connect_ap-northeast-1_,api,participant.connect.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_282_18_182_96_6426,api,18.182.96.64/26
url,AVIS_WL_5_283_TurnNlb-3c6ddabcbeb821d8_elb_ap-nor,api,TurnNlb-3c6ddabcbeb821d8.elb.ap-northeast-1.amazonaws.com
url,AVIS_WL_5_284_d13ljas036gz6c_cloudfront_net,api,d13ljas036gz6c.cloudfront.net
url,AVIS_WL_5_285_d1f0uslncy85vb_cloudfront_net,api,d1f0uslncy85vb.cloudfront.net
url,AVIS_WL_5_286_dd401jc05x2yk_cloudfront_net,api,dd401jc05x2yk.cloudfront.net
url,AVIS_WL_5_287_-,api,-
url,AVIS_WL_5_288_rtc_connect-telecom_us-east-1_amazo,api,rtc.connect-telecom.us-east-1.amazonaws.com
url,AVIS_WL_5_289execute-api_us-east-1_amazonaws_c,api,*.execute-api.us-east-1.amazonaws.com
url,AVIS_WL_5_290_participant_connect_us-east-1_amazo,api,participant.connect.us-east-1.amazonaws.com
url,AVIS_WL_5_291transport_connect_us-east-1_amazo,api,*.transport.connect.us-east-1.amazonaws.com
url,AVIS_WL_5_292_52_55_191_22427,api,52.55.191.224/27
url,AVIS_WL_5_293_18_233_213_12825,api,18.233.213.128/25
url,AVIS_WL_5_294_TurnNlb-d76454ac48d20c1e_elb_us-eas,api,TurnNlb-d76454ac48d20c1e.elb.us-east-1.amazonaws.com
url,AVIS_WL_5_295my_connect_aws,api,*.my.connect.aws
url,AVIS_WL_5_296awsapps_com,api,.awsapps.com
